de,gsw
1,eis
1,eis
1,Eis
10,zäh
10,zäh
10,Zäh
100,hondert
100,hundert
100,Hundert
1000,tusig
1000,Tusig
1000,tuusig
10000,zähtusig
10000,Zähtusig
10000,zähtuusig
100000,honderttusig
100000,Hundertusig
100000,hundertuusig
1000000,ä million
1000000,e million
1000000,Million
1000000000,ä milliardä
1000000000,e milliarde
1000000000,Milliarde
11,öuf
11,öuf
11,Öuf
12,zwöuf
12,zwöuf
12,Zwöuf
13,drizäh
13,drizäh
13,Drizäh
14,viärzäh
14,vierzäh
14,Vierzäh
15,föfzäh
15,füffzäh
15,Füfzäh
16,sächszäh
16,sächzäh
16,Sächzäh
17,sebzäh
17,sibezäh
17,Sibzäh
18,achtzäh
18,achzäh
18,Achzäh
19,nünzäh
19,nünzäh
19,Nünzäh
2,zwoi
2,zwöi
2,Zwöi
20,zwänzg
20,zwänzg
20,Zwänzg
3,drü
3,drü
3,Drü
30,drisg
30,Drisg
30,drissg
4,viär
4,vier
4,Vier
40,viärzg
40,vierzg
40,Vierzg
5,füf
5,Füf
5,füüf
50,föfzg
50,füffzg
50,Füfzg
6,sächs
6,sächs
6,Sächs
60,sächzg
60,sächzg
60,Sächzg
7,sebe
7,sibä
7,Sibä
70,sebezg
70,sibezg
70,Sibezg
8,acht
8,acht
8,Acht
80,achtzg
80,achzg
80,Achzg
9,nün
9,nüün
9,Nüün
90,nünzg
90,nünzg
90,Nünzg
anbieten,aabiete
anfangen,aafooh
anfangen,aafoh
ankommen,aacho
anrufen,aalüte
antworten,antworte
antworten,antworte
arbeiten,arbeite
arbeiten,schaffe
aufhören,ufhööre
aufhören,uufhöre
ausruhen,uusrueie
auswählen,uuswähle
auswählen,uswähle
beenden,uufhöre
beginnen,beginne
beginnen,aafo
behandeln,behandle
behandeln,behandle
benutzen,bruuche
berühren,aalänge
beschreiben,beschriebe
beschreiben,beschriibe
besuchen,bsueche
besuchen,bsueche
bevorzugen,bevorzuge
bevorzugen,bevorzuge
bevorzugen,lieber ha
bewegen,bewege
bewegen,bewege
bleiben,bliibe
brauchen,bruuche
brauchen,bruuche
brennen,brönne
bringen,bringe
bringen,bringe
denken,dänke
denken,dänke
drücken,drücke
entscheiden,entscheide
entscheiden,entscheide
erhalten,erhaute
erhalten,übercho
erinnern,erinnere
erinnern,erinnere
erkennen,erkönne
erklären,erkläre
erlauben,erlaube
erlauben,erlaube
erzählen,erzähle
erzählen,Verzöue
erzählen,verzöue
essen,ässe
essen,ässe
fahren,fahre
fahren,fahre
fallen,gheiihe
fallen,gheie
finden,finge
finden,finge
fragen,froge
fragen,froge
fühlen,fühle
fühlen,füehle
füllen,füe
füllen,füue
füllen,füue
gehen,go
geschehen,passiere
geschehen,bassiere
gewinnen,gwinne
gewinnen,gwinne
glauben,glaube
glauben,glaube
haben,ha
halten,haute
halten,hebe
halten,haute
hassen,hasse
hassen,hasse
helfen,häufe
helfen,häufe
hoffen,hoffe
hören,höre
hören,ghöre
kaufen,chaufe
kochen,choche
kochen,choche
kommen,cho
kosten,choschte
kosten,choste
kämpfen,kämpfe
kämpfen,kämpfe
können,chönne
können,chönne
lachen,lache
lachen,lache
leben,läbe
leben,läbe
legen,legge
legen,legge
lehren,lehre
lehren,lehre
lernen,lerne
lernen,lehre
lesen,läse
lesen,läse
lieben,liebe
lächeln,lächle
lächeln,lächle
lügen,lüge
lügen,lüge
machen,mache
machen,mache
nehmen,nää
putzen,putze
putzen,butze
reden,rede
reden,rede
reisen,reise
rennen,seckle
rennen,rönne
rennen,seckle
sagen,säge
schauen,luege
schauen,luege
