de,gsw
aber,aber
aber,Aber
aber,aber
abschreiben,abschrybe
alle,alli
alltäglich,alltäglech
als,als
an,aa
Anleitung,Aaleitig
Antworten,Antworte
auch,o
auch,o
auch,o
auf,uf
aufregen (sie),ufrege
aus,us
aus,us
ausgelehnt,usglehnt
Begebenheit,Begäbeheit
beim,bim
beissen (sie),bysse
bekommen,übercho
Berndeutsch,bärndütsch
besonders,bsungers
Bibliothek,Biblere
blaue (N),blaue
Bodensatz,Bodesatz
Buch,Buech
Buch,Buech
daher,derhär
danke,Danke
dann,de
dann,De
darfst du,darfsch
darüber,drunger
das,Das
das,das
das,Das
das,Das
das,das
das,ds
das,ds
das,ds
dass,dass
Daumen,Duume
dazu,derzue
dazu,derzue
deine (pl.),diner
dem,däm
denken,däiche
denken,däiche
denkst (du),däichsch
denkt (er/sie/es),dänkt
deutlich,dütlech
dich,di
dich,di
dich,di
dich,di
die,di
die,di
die,wo
die,wo
die (F),die
diesem,däm
dir,der
dir,dir
dir,dir
dir,dir
dir,dir
dir,dir
dir,dir
dir,dir
dir es,drs
doch,de
doch,doch
Dorfbeck,Dorfbeck
du,de
du,du
du,du
du,du
du,du
eben,äbe
eigentlich,eigentlech
ein,es
ein,ii
ein (M),e
ein (M),e
ein bisschen,echli
ein bisschen,echly
eine,e
einen,e
einen,e
einen (M),E
einfach,eifach
erst,ersch
erwarten,erwarte
erzähle (ich),verzelle
es,es
es,Es
es,es
etwas,Öppis
feiner (M),feine
Fragen,Frage
Fragen,Frage
fragst (du),fragsch
friert (er/sie/es),gfriert
für,für
für,für
für eine,fürne
Furz,Furz
ganz,ganz
geben,gä
gefällt mit (er/sie/es),gfautmer
gegönnt,ggönnt
gehörst,Ghörsch
gehört (er/sie/es),ghört
Geier,Geier
geschenkt,gschänkt
Geschichten,Gschichte
Geschichten,Gschichte
gibt es,Gits
glaube (ich),gloube
Glück,Glück
Grossmutter,Grossmueti
grünen,grüene
Gruss,Gruess
gut,guet
guten (M),guete
haben (sie),Hei
halt,haut
halt,haut
Hand,Hand
hast (du),hesch
hast du,Hesch
hast du es,hesches
hat (er/sie/es),het
Helm,Helm
Herzen,Härz
hinter,hinger
hoch,höch
hoffentlich,hoffentlech
ich,i
im,im
immer mal wieder,aube
in,i
in,i
in der,idr
in der,ir
ist (er/sie/es,isch
ist (er/sie/es,isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),Isch
ist (er/sie/es),isch
ist es,isch
ja,ja
ja,ja
jemandem,öpperem
Kaffeepause,Gaffipouse
kommt (er/sie/es),chunnt
kratzt (du),chratzisch
kurze (pl.),Churzi
küscheln,chüschele
laut,lut
Leben,Läbe
Leben,Läbe
Leben,Läben
leichte (N),Liechte
lesen,Läse
lieben (M),liebe
lieber,lieber
lustige (N),Luschtige
machen,mache
machen (sie),mache
man,me
manchmal,mängisch
manchmal,mängisch
manchmal,mängisch
mehr,meh
meinem,mym
mich,mi
mir,mir
mit einer,mitere
Musik,Musig
muss (er/sie/es),Muess
Nachbar,Nachbar
natürlich,natürlech
nein,Nei
neuen (pl.),nöie
nicht,nid
nicht,nid
nicht,Nid
nicht,nüüt
nicht mehr,nümm
nichts,nid
nichts,nüüt
nichts,nüüt
nur,nume
obendrauf,obedruffe
oder,o
oder,o
oder,Oder
oder,oder
oder,oder
plötzlich,plötzlech
rentieren,räntiere
rührst (du),rüehrsch
Sachen,Sache
Satz,Satz
Schachtel,Schachtle
Schaumkaffee,Schüümli-Kafi
schmunzeln,schmunzle
schön,schön
Schwiegermütter,Schwiegermüetere
selber,sälber
sie,se
sie (F),si
sind (sie),sy
sind (sie),sy
so,eso
so,so
so,so
sogar,sogar
sogar,sogar
solche,serig
solche,serig
solche (pl.),so
steht (er/sie/es),steit
steigt (er/sie/es),still
Tante,Tante
Texte,Tägschte
Texte,Texte
Texte,Texte
Tränchen,Trändli
tut es,tuets
und,u
und,u
und,u
und,u
und,u
und,u
und,u
und,u
und,u
und,U
und,Un
unserem,usem
unserem,usem
verblüht,verblüeht
vergangen,vergange
vergiessen,abläschele
verstrickter,verstrickter
vertraut,vertrout
verwundern,verwungere
vielleicht,Vilech
vielleicht,vilech
vielleicht,vilech
vom,vom
vom,vom
vom,vom
von,vo
vor,vor
vorab,vorab
vorkommt (er/sie/es),vorchunnt
vorliest (er/sie/es),vorlist
Wahrheiten,Wahrheite
was,was
was ich,Wasi
weil,wüu
weil,wüu
weiss (er/sie/es),weiss
weisst (du),weisch
weisst (du),Weisch
weiter,wyter
weiter,wyter
welche,wo
wem,wäm
wenn,we
wenn,wenn
wenn du,wede
wenn du es,weds
wenn du sie,wede
wenn es,wes
wenn es,wes
wenn man,weme
wer,Wär
wichtig,wichtig
wichtiger,Wichtiger
wie,Wi
wie,Wi
wie,wi
wie,wie
wie ein,wine
wie eine,wine
wieder,wider
wirklich,würklech
woher,wohär
wohl,wohl
würde (er/sie/es),würd
würde ich,würdi
zu,z
zu,z
zu,z
zum,zum
