de,gsw
abbeissen,abbisse
aber,Aber
aber,aber
abknabbern,abknabbere
Abstand,Abstand
achtung,Achtig
als,als
als ein (N),wie n e
also,also
Amerika,Amerika
an,an
ändert (ihr),änderet
Ärger,Lämpe
auch,au
auch,au
aufpassen,Uffpasse
aus,us
Auslandbünzli,Uslandbünzli
ausnahmsweise,usnahmswiis
aussprechen,usschwätze
Auto,Auto
Basel,Basel
Basel,Basel
bei,bi
bei,bi
bei,bi
beides,beides
besser,besser
besten (pl.),beschte
bist (du),bisch
Bock,Bock
braucht (er/sie/es),brucht
Brokkolisüppchen,Brokkolisüppli
Bündner,Büdner
dann,denn
dann,denn
das,das
dass,das
dass,das
de (M),dr
dem,däm
den (M),dr
den (pl.),de
den (pl.),de
der,dr
der (M),dr
Deutscher in der Schweiz (abwertend),Gummihals
die,wo
die (F),d
die (F),d
die (F),d
die (pl.),die
die (pl.),Die
die (pl.),wo
doch,doch
doch,doch
doch,doch
drin,dinne
du,du
du,du
durchsetzt (ihr),duuresetzet
Edit,edit
egal,egal
ehrlich,ehrlich
Eigenwerbung,Sälbstpromotion
ein,ei
ein (N),es
ein bisschen,e weneli
eine (F),e
eine (F),e
eine (F),eine
eine (F),ne
einfach,eifach
einkaufen,kommissione mache
einkauft (er/sie/es),yykauft
einstehen,Yystoh
ekelhaft,oltig
er,Är
er,är
es,es
etwas,ebbis
existiere (ich),existier
feines,feins
Fertigsüppchen,fertigsüppli
finde ich es,findis
fragt (er/sie/es),frogt
für,für
ganzen (pl.),ganze
geht (er/sie/es),got
geil,geil
gerade,grad
geriebenem,griebenem
gerne,gärn
Gerstensuppe,Gärschtesuppe
gewusst,gwüsst
Grenze,Gränze
habe (ich),Han
habe (ich),han
haben,ha
hart,hart
hat (er/sie/es),het
hausgemachte (F),huusgmachti
heisse (F),heissi
hier,do
ich,Y
ich,y
ihr (pl.),ihr
im,im
im,im
importieren,importiere
in,in
in,z
in den,in
Irland,Irland
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist das,ischs
jedem,jedem
jemandem,öbberem
jetzt,Jetzt
Kamerad,Kamerad
