de,gsw
ab,Ab
aber,Aber
aber,Aber
aber,Aber
aber,aber
aber,Aber
aber,Aber
aber,aber
aber,aber
abgibt (er/sie/es),abgit
ablehnen,ablehne
absolut,absolut
abstimmen,abstimme
abstimmen,abstimme
abstimmen,stimme
alle (pl.),alli
alles,Alles
allgemeines,allgemeins
als,als
als,als
an,an
an,an
andere (N),andere
andere (pl.),anderi
angebracht,aabrocht
angesprochen,aagsproche
Anschnitt bei Brot,Aahau
Anzeige,Aazeig
anzuregen,aazrege
Argument,Argument
Art,Art
auch,au
auch,au
auch,au
auch,au
auch,au
auch,au
auch,au
auf,uf
auf,uff
auf das,uffs
aufeinander,ufenander
Aufwand,ufwand
aus,us
aus,uss
Ausländer,Usländer
Auslegern,usleger
ausser,usser
ausserdem,Usserdem
baut (er/sie/es),baut
bei,bi
beides,beides
Beispiel,bispiel
bereits,bereits
Beschreibung,Beschribig
bezüglich,bezüglich
bin (ich),Bi
bis,bis
bisher,bisher
bitte schön,bitteschön
Boden,bode
Bünzli,Bünzli
Cervelat,Cervalat
da,do
dann,denn
dann,denn
dann,denn
dann,denn
dann,denn
darum,drum
darunter,drunter
das,das
das,das
das,das
das,Das
das,das
das,das
das,das
das,das
das,das
das,s
das,s
das genau,S'genau
dass,dass
dass,dass
dass,dass
dem,dem
dem,dem
dem,dem
den (M),de
den (M),de
den Stimmbriefumschlag,s'Stimmguveer
denken (sie),dänke
deplatziert,deplatziert
der (F),de
der (F),dere
der (F),dr
der (F),dr
der (F),dr
der (M),de
der (M),dr
der (M),dr
der EU,d'EU
dermassen,dermasse
Deutsche,tütsche
Deutschland,Dütschland
die (F),d
die (F),die
die (F),die
die (F),wo
die (F),wo
die (pl.),Die
die (pl.),Die
die (pl.),die
die (pl.),wo
die (pl.),wo
die (pl.),wo
die Augen,d'Auge
die EU,d'EU
die ich (pl.),wonni
die Idee,d'Idee
die Initiative,d'Initiative
die Länge,d'Längi
die Tiefkühlpizza,d'Tiefküehlpizza
dieser (F),dere
dieser (F),dere
dir,dir
Diskussion,Diskussion
Diskussion,Diskussion
dort,dört
drauf,druff
drin,drin
du,du
effizient,effizient
ein (M),e
ein (M),en
ein (N),e
ein (N),e
ein (N),Es
ein (N),es
einbeziehen,iibezieh
eine (F),e
eine (F),e
einfach,eifach
einfach,eifach
einfügen,iifüege
Eingriff,Ihgriff
Energie,energie
Energie,energie
Energie,energie
Energie,energie
er,er
ernst,ernst
erreicht,erreicht
es,es
es,Es
es,es
es,es
es,es
etwas,öbbis
eventuell,eventuell
Extrapunkte,Extrapünkt
extrem,extrem
Fall,Fall
fallen,falle
Fastfood,Fastfood
Fastfood,Fastfood
Feldschlösschen,Feldschlössli
Fleisch,Fleisch
Flüchtlinge,Flüchtling
Frau,Frau
Fuchtzucker,Fruchtzucker
für,für
für,für
furchtbar,furchtbar
ganz,ganz
gar,gar
gar,gar
Gefühlen,Gfühl
gegangen,go
gehen,go
gehen (sie),go
gehen (sie),go
geht (er/sie/es),goht
genau,grad
genau,Mol
generell,generell
genutzt,gnutzt
geöffnet,göffnet
gerne,gärn
gesehen,gseh
gesehen,gsehn
gespeichert,gspeichered
geteilt,teilt
gewesen,gsi
Gewicht,gwicht
Gewichte,gwicht
Gewichte,gwicht
gibt (er/sie/es),git
gibt (er/sie/es),git
glaube (ich),glaub
gleiche (N),gliche
habe (ich),han
haben (sie),hännd
haben (sie),hännd
halt,halt
Handvoll,handvoll
hardcore,Hardcore
hast (du),hesch
hat (er/sie/es),het
hat (er/sie/es),het
hauptsächlich,primär
helfe (ich),hilf
herausgebracht,usebrocht
Herr,Herr
Hinweis,Hiiwiis
hinzuweisen,hiizwiise
hoffe (ich),hoff
Höhe,höchi
hol (du),hool
ich,i
ich,ich
ich,Ich
ich,Ich
ich,ich
ich,Ich
ich,Ich
ich,ich
ihren (pl.),ihrne
ihres,ihres
im,im
immer,immer
immer,immer
in,in
in,in
in,in
in,in
in,in
ineffizienter,ineffizienter
Internet,Internet
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ja,jä
ja,Jo
jetzt,jetzt
jetzt,jetzt
