de,gsw
Abenteuern,Abentür
aber,Aber
aber,Aber
aber,Aber
aber,Aber
aber,Aber
abhanden,abhande
abhanden,abhande
all,all
allen,allne
alles,alles
alles,Alles
alles,alles
an,a
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
Angst,Angscht
auch,au
auf,uf
auf dem,ufem
aus,us
bei,Bi
Beschreibung,Beschreb
Bilder,Belder
bin (ich),be
bin (ich),be
bin (ich),be
bin ich,beni
bin ich,beni
bin ich,beni
bis ich es,bessis
bist (du),Bisch
bist (du),Bisch
bist (du),bisch
bist (du),bisch
blind,blind
blind,blind
blind,blind
Blumengesteck,Bluemegsteck
bricht (er/sie/es),brecht
bricht (er/sie/es),brecht
bricht (er/sie/es),brecht
bricht (er/sie/es),brecht
da,do
da,do
da,do
da,do
dagegen,degege
das,das
das,Das
das,Das
das,das
das,das
das,wo
das,wo
das,wo
das,wo
das ich,s’ech
das ich,s’Ech
dass,Dass
dass,Dass
dass,Dass
dass,Dass
dass,Dass
dass,Dass
dass,Dass
dass ich,dassi
dem,dem
dem,dem
dem,dem
den (pl.),dene
deswegen,wäg dem
dich,dich
dich,dich
dich,dich
die (F),Wo
die (pl.),Die
die (pl.),Die
die (pl.),die
die (pl.),die
die (pl.),wo
die (pl.),Wo
dir,dir
dir,dir
doch,Doch
doch,doch
du,Du
du,Du
du,du
du hast,Hesch
ein (N),Es
ein (N),es
einen,en
einige Zeit,zitli
es,es
es hat,S’hed
etwas,öppis
etwas,öppis
etwas,öppis
etwas,öppis
Fenster,Fenster
finde (ich),fend
finde (ich),fend
finde (ich),fend
finde (ich),fend
für,för
für,für
gar,gar
gebe (ich),gib
geben (sie),gänd
Gedankenschlund,Gedankeschlund
gedreht,dreht
gefällt,gfällt
gefällten (pl.),gfällte
gefunden,gfunde
gegangen,gange
geht (er/sie/es),gaht
gekommen,cho
gekommen,cho
Gespenstern,Gspenster
getroffen,troffe
glaube ich,glaubi
Grund,Grond
gut,guet
habe (ich),ha
habe (ich),Ha
habe (ich),han
habe (ich),han
habe ich,hani
habe ich,hani
habe ich,hani
habe ich,hani
habe ich,hani
habe ich,hani
habe ich,hani
habe ich,hani
habe ich,hani
habe ich,hani
habe ich,hani
habe ich,hani
habe ich,hani
habe ich,hani
habe ich,hani
habe ich,hani
habe ich,hani
halten,hebe
Hand,Hand
hast (du),hesch
hören (sie),ghöred
hörst (du),ghörsch
hundert,hondert
ich,ech
ich,Ech
ich,ech
ich,Ech
ich,Ech
ich,Ech
ich,ech
ich,ech
ich,ech
ich,ech
ich,ech
ich,ech
ich,ech
ich,i
ich,ich
ich,Ich
ich habe,Han
ich habe es,Has
ich mache,Mach
ich stehe,Stahne
ich suche,Sueche
ich versuche,Versuech
ich weiss,Weiss
ich weiss,Weiss
im,im
immer,immer
in,i
in,i
in,i
in der,ide
in die (F),id
ist (er/sie/es),Isch
ist (er/sie/es),Isch
ja,ja
Jahresringen,Jahresrende
kämpft (er/sie/es),kämpft
kann ich,chani
Kind,Chind
klebt (er/sie/es),chläbt
klebt (er/sie/es),chläbt
klebt (er/sie/es),chläbt
klebt (er/sie/es),chläbt
könnte (er/sie/es),chönnt
Köpfen,Chöpf
lange,lang
lange,lang
leben,lebe
Leben,Lebe
lehn (du),Lehn
Leute,Lüt
Leuten,Lüt
liebe (ich),liebe
mache (ich),mach
mache (ich),mach
mache (ich),mach
mehr,meh
mehr,meh
mehr,meh
mehr,meh
mehr,meh
mehr,meh
mehr,meh
mein (N),min
mein (N),mis
meinem,mim
mich,mech
mich,mech
mich,mech
mich,mech
mich,mech
mich,mech
mich,mech
mich,mi
mich,mich
mich,mich
mir,mer
mir,mer
mir,mer
mir,mer
mir,mer
mir,mir
mit,met
mit,met
mit,met
mit,met
mit,met
mit,met
mit,met
mit,met
mit,met
mit,mit
Mitte,Mitti
nach,nach
nach,nach
neuen (M),neue
nicht,Ned
nicht,ned
nicht,Ned
nicht,ned
nicht,ned
nicht,ned
nicht,Ned
nicht,ned
nicht,ned
nicht,Ned
nicht,ned
nicht,nie
nicht,nie
nicht,nie
nicht,nie
nicht,nie
nicht,nie
nicht,nie
nicht,nie
nicht,nöd
nicht,nöd
nicht,nöd
nicht,nöd
nicht,nöd
nicht,nöd
nicht,nöd
nicht mehr,nömme
nicht mehr,nüm
nicht mehr,nüm
nicht mehr,nümme
nie,nie
nimm es (du),Nimms
noch,no
